ticker,date,trades_count,minute_imbalance,trade_imbalance,minute_late,trade_late,minute_off,trade_off
JPM,2021-10-05,81044,-0.003993040149206039,-0.008925102402551625,5.0,5.0,0.0,0.454341486564503
CAT,2021-11-15,40183,-0.10278954613492997,-0.09581953754092856,0.6004047561644118,0.1593854770210234,0.0,0.45327584217455164
CRM,2022-01-20,93721,0.029868770630384026,-0.013736342445493072,2.7133585965650835,5.0,0.0,0.49963761832043846
MSFT,2024-04-10,264036,-0.11768304305136695,-0.11811849927036323,0.880186916314743,0.033657329043283044,0.0,0.3755633298892038
NVDA,2024-06-12,1564053,0.07092395774721418,-0.05909068108664331,1.9506174139491685,1.4387294595856646,0.0,0.21951888454400617
ADBE,2024-07-08,51780,0.05967702489950018,-0.10676746445101726,0.9637589420781395,0.021145437441181407,0.0,0.47419022734572347
HD,2024-08-20,63025,0.008074504573170731,0.10443196684166815,5.0,0.6223387377453983,0.0,0.5131565172090117
JNJ,2024-10-15,132173,0.0749853221508719,-0.0026934660705132695,1.8113990669216204,2.489161632304136,0.0,0.55491140021644
BAC,2024-12-05,114166,0.005736022506787888,0.00452848710779065,5.0,5.0,0.0,0.6631420780006844
AAPL,2025-02-10,278384,0.02904694072513721,-0.0705750283304292,2.3257696548180427,0.3497187113670841,0.0,0.48698174625105434
